user_id,timestamp,group,landing_page,converted
940952,11:10.4,treatment,new_page,0
831261,11:36.7,control,old_page,0
778189,07:57.5,treatment,new_page,0
919405,16:07.2,control,old_page,0
914383,16:23.3,control,old_page,0
695261,25:06.6,treatment,new_page,1
735526,40:44.0,treatment,new_page,1
733852,04:00.9,control,old_page,0
706363,05:23.3,control,old_page,0
821608,06:55.8,control,old_page,0
864687,13:24.1,treatment,new_page,0
809907,26:58.2,control,old_page,0
743217,32:36.6,treatment,new_page,0
899445,02:57.1,treatment,new_page,0
810401,05:58.5,control,old_page,0
815983,08:34.4,treatment,new_page,0
705380,10:06.3,treatment,new_page,0
856636,13:48.2,control,old_page,0
855351,26:28.2,control,old_page,0
900958,37:48.1,control,old_page,1
816687,49:42.4,control,old_page,0
674509,16:22.6,treatment,new_page,0
837442,19:31.5,treatment,new_page,0
706263,33:54.8,treatment,new_page,0
785823,48:53.8,treatment,new_page,0
861126,02:21.5,treatment,new_page,0
719330,04:44.8,treatment,new_page,0
752308,06:55.5,treatment,new_page,0
710282,39:35.2,control,old_page,1
784557,39:41.4,treatment,new_page,0
723759,52:23.9,control,old_page,0
844747,10:31.7,control,old_page,1
893374,19:08.9,control,old_page,0
665793,19:39.1,control,old_page,1
909011,25:45.0,control,old_page,0
713474,39:45.3,treatment,new_page,0
819369,53:47.2,treatment,new_page,0
705723,09:36.1,treatment,new_page,1
742486,13:24.4,treatment,new_page,0
730406,21:30.8,control,old_page,1
676790,34:57.4,control,old_page,0
817575,36:52.0,treatment,new_page,1
740613,42:04.8,treatment,new_page,0
802231,45:33.7,control,old_page,0
663951,07:42.4,control,old_page,0
729973,14:35.5,treatment,new_page,0
763472,26:53.5,treatment,new_page,0
663109,27:04.3,control,old_page,0
830211,34:15.1,control,old_page,0
895568,36:26.2,treatment,new_page,0
673329,48:37.3,treatment,new_page,0
868498,55:31.3,control,old_page,0
885626,00:48.2,control,old_page,0
728092,19:53.6,control,old_page,1
929899,44:02.4,control,old_page,0
812039,18:08.6,treatment,new_page,0
945778,54:48.0,treatment,new_page,1
641314,55:56.0,treatment,new_page,0
744415,07:00.1,control,old_page,0
907798,21:33.8,treatment,new_page,0
930709,35:00.0,treatment,new_page,0
726967,44:59.3,control,old_page,0
817355,58:09.0,treatment,new_page,1
886455,11:57.0,control,old_page,0
925362,12:46.7,control,old_page,0
810660,13:58.0,treatment,new_page,1
894302,14:30.9,control,old_page,1
916848,19:20.7,treatment,new_page,0
672900,30:58.0,treatment,new_page,1
697492,31:44.5,control,old_page,0
756322,39:47.0,treatment,new_page,0
878888,52:08.8,treatment,new_page,0
660003,55:35.9,treatment,new_page,0
702988,59:54.4,treatment,new_page,0
646066,04:49.4,treatment,new_page,1
880820,10:42.0,control,old_page,1
704650,10:52.7,treatment,new_page,0
779652,32:30.2,control,old_page,0
797817,09:50.5,control,old_page,0
827585,10:32.5,control,old_page,0
758188,14:21.2,control,old_page,0
877391,14:42.2,treatment,new_page,0
844327,19:07.3,control,old_page,0
638001,22:29.2,control,old_page,1
786480,24:35.1,treatment,new_page,0
717572,42:27.0,treatment,new_page,1
806246,09:30.2,control,old_page,1
857865,14:21.7,treatment,new_page,0
680053,16:04.7,control,old_page,0
860973,17:28.2,treatment,new_page,0
901074,22:14.0,control,old_page,0
716092,42:35.1,control,old_page,0
718530,46:10.3,treatment,new_page,0
840502,55:32.2,treatment,new_page,0
831398,09:18.9,control,old_page,0
834002,18:56.9,control,old_page,0
770137,22:17.6,treatment,new_page,0
714092,23:36.1,treatment,new_page,0
714677,25:03.8,control,old_page,0
672042,11:40.8,control,old_page,0
723863,21:13.1,control,old_page,0
806983,26:21.2,control,old_page,0
887934,30:53.6,control,old_page,1
936300,31:40.6,control,old_page,0
675868,35:42.0,control,old_page,0
936067,37:11.3,treatment,new_page,0
853881,53:01.7,control,old_page,0
778620,05:09.4,control,old_page,0
756480,07:20.9,control,old_page,0
823474,24:11.8,control,old_page,0
640225,44:30.4,control,old_page,0
805100,51:56.0,treatment,new_page,0
690434,07:05.1,control,old_page,0
721943,08:50.7,control,old_page,0
894322,17:04.6,control,old_page,0
897941,22:02.3,control,old_page,1
891585,38:10.4,control,old_page,0
729142,45:59.0,control,old_page,0
728300,58:32.3,control,old_page,0
756946,00:39.3,control,old_page,0
841618,07:56.1,treatment,new_page,0
647522,09:16.2,control,old_page,0
689445,34:48.2,treatment,new_page,0
804788,08:42.8,treatment,new_page,0
664494,09:47.5,treatment,new_page,0
799400,20:55.6,treatment,new_page,0
889888,41:07.2,treatment,new_page,1
875893,41:51.3,treatment,new_page,0
695656,52:25.7,treatment,new_page,0
844186,52:58.2,treatment,new_page,0
808801,52:59.1,treatment,new_page,0
650765,06:20.7,treatment,new_page,0
768320,19:16.1,control,old_page,0
707391,36:22.5,control,old_page,0
783617,43:23.0,treatment,new_page,0
866981,45:12.6,control,old_page,0
667213,51:09.9,treatment,new_page,0
797706,05:11.6,control,old_page,0
820382,13:54.8,treatment,new_page,0
693846,19:33.5,treatment,new_page,0
914410,41:16.4,treatment,new_page,0
866695,44:08.9,control,old_page,0
938605,51:03.1,control,old_page,0
755743,57:00.3,control,old_page,1
689670,04:41.6,control,old_page,0
938615,16:09.5,control,old_page,0
837609,19:51.4,treatment,new_page,0
693179,43:57.2,control,old_page,0
697786,17:05.1,treatment,new_page,0
702386,30:00.0,control,old_page,0
860055,36:08.5,control,old_page,0
872666,44:32.1,control,new_page,0
785040,46:10.3,control,old_page,1
661805,48:22.1,control,old_page,0
670941,16:41.3,control,old_page,0
737414,22:32.8,treatment,new_page,0
944746,26:44.0,treatment,new_page,0
762934,35:05.0,treatment,new_page,1
712347,52:14.2,treatment,new_page,0
686611,54:58.8,control,old_page,0
822900,57:03.3,control,old_page,0
665767,03:53.7,control,old_page,0
939593,15:32.0,control,old_page,0
634989,23:55.8,treatment,new_page,0
713371,24:18.2,control,old_page,0
713214,31:20.4,control,old_page,0
892356,35:14.9,treatment,new_page,1
707938,37:35.0,control,old_page,0
630829,44:47.1,control,old_page,0
938636,54:30.4,treatment,new_page,0
908348,04:47.2,control,old_page,0
841218,15:55.2,control,old_page,0
941837,18:26.6,treatment,new_page,0
874755,50:07.5,treatment,new_page,0
945043,14:39.4,treatment,new_page,0
826115,27:16.8,treatment,new_page,0
826969,30:59.7,treatment,new_page,0
874023,31:19.5,treatment,new_page,0
901459,33:34.3,treatment,new_page,0
713685,48:17.8,treatment,new_page,0
812876,52:34.9,treatment,new_page,0
696641,56:43.1,control,old_page,0
765704,06:42.4,treatment,new_page,1
667048,31:15.9,treatment,new_page,0
816982,43:55.8,control,old_page,0
749330,07:34.0,treatment,new_page,0
715289,09:22.2,treatment,new_page,0
685788,37:41.8,treatment,new_page,0
884670,45:38.8,treatment,new_page,0
850233,52:09.1,treatment,new_page,0
643178,11:45.1,control,old_page,0
866854,22:23.2,control,old_page,0
856754,02:49.6,treatment,new_page,0
646795,11:20.6,treatment,new_page,0
808036,11:38.7,control,old_page,0
750416,13:34.8,treatment,new_page,0
804861,30:19.9,treatment,new_page,0
777616,32:05.9,treatment,new_page,0
875124,39:25.4,treatment,new_page,1
891777,50:21.8,control,old_page,0
638022,55:29.0,control,old_page,0
787869,15:47.8,treatment,new_page,0
924661,18:17.4,control,old_page,0
775178,18:23.9,control,old_page,0
841008,20:30.9,control,old_page,0
729555,21:16.9,treatment,new_page,0
799416,29:55.0,control,old_page,1
721686,32:26.0,control,old_page,0
767445,36:29.4,control,old_page,0
904397,54:30.7,control,old_page,0
880285,56:13.9,control,old_page,0
803040,56:46.5,control,old_page,0
753746,03:35.1,treatment,new_page,0
715490,14:42.0,treatment,new_page,0
811693,32:43.0,treatment,new_page,0
634927,34:26.1,treatment,new_page,0
635467,43:07.0,control,old_page,0
831604,51:51.8,control,old_page,0
852915,57:28.9,control,old_page,0
643777,44:20.8,treatment,new_page,0
779579,53:15.4,treatment,new_page,0
904789,56:06.9,treatment,new_page,0
918554,17:01.7,control,old_page,1
645801,31:52.2,treatment,new_page,0
732774,38:14.7,control,old_page,0
917567,46:04.6,treatment,new_page,0
695829,53:48.4,treatment,new_page,0
711590,02:19.6,control,old_page,0
651720,02:29.5,control,old_page,0
791703,15:02.4,control,old_page,0
861972,15:22.1,treatment,new_page,0
869395,15:24.8,treatment,new_page,0
630665,31:22.0,control,old_page,1
634985,40:15.1,control,old_page,0
898607,42:31.8,control,old_page,0
900536,11:30.9,control,old_page,0
928811,19:39.9,treatment,new_page,0
934327,20:59.5,treatment,new_page,0
916725,51:38.9,control,old_page,0
752747,57:17.2,control,old_page,0
757482,14:02.7,treatment,new_page,0
780587,20:45.3,treatment,new_page,0
713765,34:01.3,control,old_page,0
770772,47:39.7,control,old_page,1
839089,10:15.0,control,old_page,0
631705,12:23.0,control,old_page,0
790765,16:36.7,control,old_page,0
872142,23:13.1,control,old_page,0
828056,25:11.8,treatment,new_page,0
631625,29:53.7,control,old_page,0
699194,31:51.2,treatment,new_page,0
708305,32:12.9,control,old_page,0
764241,46:12.6,treatment,new_page,1
666472,54:18.8,control,old_page,0
871094,07:40.1,treatment,new_page,0
890388,11:20.5,treatment,new_page,0
699967,18:23.5,control,old_page,0
663896,24:18.7,treatment,new_page,0
889344,29:48.6,control,old_page,1
784274,38:47.2,treatment,new_page,0
730707,46:59.6,treatment,new_page,0
910923,53:28.2,treatment,new_page,0
890883,59:25.6,control,old_page,0
669473,20:37.7,control,old_page,0
753749,30:10.5,control,old_page,0
896902,33:19.3,treatment,new_page,0
876618,42:33.8,treatment,new_page,0
766662,45:09.4,treatment,new_page,0
650843,50:10.2,control,old_page,0
736159,50:21.3,treatment,new_page,0
860788,14:19.7,control,old_page,0
921694,15:26.0,control,old_page,1
650897,33:01.4,treatment,new_page,0
742409,36:46.9,treatment,new_page,0
759505,43:06.2,treatment,new_page,0
829558,51:45.6,treatment,new_page,0
897376,55:34.1,treatment,new_page,0
915010,14:13.0,control,old_page,0
833886,19:26.8,control,old_page,0
781179,33:01.8,treatment,new_page,0
701434,39:47.2,control,old_page,0
868160,54:31.3,control,old_page,0
729596,00:17.1,control,old_page,0
924077,02:12.9,control,old_page,0
750542,05:27.7,control,old_page,0
665641,06:42.4,treatment,new_page,0
858458,51:33.2,control,new_page,1
714861,57:20.7,control,old_page,0
788696,02:45.5,treatment,new_page,0
856680,02:54.9,control,old_page,0
789322,32:10.5,treatment,new_page,0
932857,42:13.4,treatment,new_page,0
762487,59:40.8,control,old_page,0
759395,04:12.5,treatment,new_page,1
829790,09:36.6,treatment,new_page,0
742108,20:54.1,control,old_page,0
671625,45:36.9,control,old_page,0
860351,51:01.1,treatment,new_page,0
841535,01:04.9,treatment,new_page,0
880150,07:15.9,control,old_page,0
839187,25:26.8,treatment,new_page,0
867227,27:11.2,control,old_page,1
789031,39:56.3,control,old_page,0
782484,46:42.7,treatment,new_page,1
876671,10:49.3,treatment,new_page,0
919227,13:43.1,control,old_page,0
832024,20:11.2,control,old_page,0
774676,43:01.4,treatment,new_page,0
725787,43:11.3,control,old_page,1
900503,01:56.5,control,old_page,0
899308,19:13.6,treatment,new_page,1
884890,30:49.4,control,old_page,0
864990,35:36.4,control,old_page,0
787450,39:39.1,treatment,new_page,0
762545,12:13.0,treatment,new_page,0
728941,30:25.0,treatment,new_page,0
891097,32:01.3,control,old_page,0
859483,51:09.6,treatment,new_page,1
854549,01:35.1,treatment,new_page,0
734232,25:15.9,treatment,new_page,0
790494,34:11.8,control,old_page,0
822827,57:40.5,treatment,new_page,0
707502,20:02.6,control,old_page,0
945374,30:28.7,control,old_page,0
769392,39:56.1,control,old_page,0
633453,52:04.4,treatment,new_page,0
759907,56:59.5,control,old_page,0
735587,13:24.0,treatment,new_page,0
846096,17:49.7,treatment,new_page,0
766887,21:42.2,control,old_page,0
931545,28:57.2,control,old_page,0
817557,32:54.5,control,old_page,0
784853,36:26.6,treatment,new_page,0
869879,38:06.0,treatment,new_page,0
823585,38:51.4,treatment,new_page,0
785566,43:12.1,control,old_page,0
852211,02:51.0,control,old_page,0
705092,16:38.3,treatment,new_page,0
766921,24:30.6,treatment,new_page,0
919065,25:35.0,control,old_page,0
699928,32:03.1,treatment,new_page,0
704618,43:08.5,control,old_page,0
878195,51:08.2,control,old_page,0
673880,54:04.2,control,old_page,0
777300,05:05.0,treatment,new_page,0
843231,07:57.2,control,old_page,0
631836,25:30.5,treatment,new_page,0
642671,34:11.1,treatment,new_page,0
844905,40:04.1,control,old_page,0
641947,45:44.4,treatment,new_page,0
755973,59:32.6,control,old_page,1
648580,00:08.7,control,old_page,0
631586,09:05.0,treatment,new_page,0
664031,29:12.8,treatment,new_page,0
823455,45:24.1,control,old_page,0
827555,53:38.4,control,old_page,1
881141,05:48.2,control,old_page,0
905045,11:26.0,treatment,new_page,1
936978,30:16.0,control,old_page,0
935782,34:38.3,control,old_page,0
659490,36:04.7,treatment,new_page,1
812694,57:58.3,control,old_page,0
937654,11:39.4,control,old_page,0
856704,18:33.4,treatment,new_page,0
942185,20:16.8,treatment,new_page,0
916147,20:39.4,treatment,new_page,0
648950,39:19.0,treatment,new_page,0
646342,39:23.5,control,new_page,0
765973,47:46.1,treatment,new_page,0
727239,47:52.5,control,old_page,0
903977,48:01.0,treatment,new_page,1
917457,54:13.5,control,old_page,0
830242,19:45.2,treatment,new_page,1
717867,49:24.5,control,old_page,0
885304,03:47.1,treatment,new_page,0
700587,22:37.5,control,old_page,1
885412,26:01.4,treatment,new_page,0
875890,31:39.5,treatment,new_page,0
731708,32:22.5,treatment,new_page,1
730456,47:26.7,control,old_page,0
866143,48:17.7,treatment,new_page,0
774856,52:16.5,treatment,new_page,0
839954,58:22.3,treatment,old_page,0
845063,05:09.1,treatment,new_page,0
867711,05:56.0,treatment,new_page,0
785923,11:51.4,treatment,new_page,1
729955,15:09.6,treatment,new_page,0
883848,19:14.9,treatment,new_page,0
917765,33:38.8,control,old_page,0
712856,35:37.7,control,old_page,0
926346,43:15.1,treatment,new_page,0
712327,50:11.3,treatment,new_page,0
669427,52:30.0,control,old_page,0
897464,54:30.4,control,old_page,0
931120,03:23.1,treatment,new_page,1
682510,11:08.6,treatment,new_page,1
862874,29:52.5,control,old_page,0
827500,00:40.0,treatment,new_page,0
827871,06:18.4,control,old_page,1
857351,13:52.3,control,old_page,0
758852,17:45.4,treatment,new_page,0
647490,29:51.7,treatment,new_page,1
824203,36:28.4,treatment,new_page,0
763645,37:01.8,control,old_page,0
865045,37:22.7,control,old_page,0
639817,39:11.8,control,new_page,0
924140,51:12.3,control,old_page,0
786310,53:12.9,treatment,new_page,0
827331,05:11.0,treatment,new_page,0
859351,25:21.1,treatment,new_page,0
805741,28:35.5,control,old_page,0
847541,31:29.2,control,old_page,0
718349,07:23.6,control,old_page,0
639172,36:29.1,control,old_page,0
792577,57:04.7,control,old_page,1
821791,04:50.5,control,old_page,0
876541,26:53.1,treatment,new_page,0
792499,30:53.4,treatment,new_page,1
917943,44:46.7,control,old_page,0
632780,45:52.8,control,old_page,0
742336,47:09.1,control,old_page,0
893496,47:52.8,treatment,new_page,0
808905,00:39.9,control,old_page,0
924870,01:30.5,treatment,new_page,0
717682,05:39.9,control,new_page,0
931013,23:57.9,treatment,new_page,0
894393,24:43.0,control,old_page,1
938361,25:29.0,control,old_page,0
643194,51:02.9,control,old_page,0
630374,55:49.9,treatment,new_page,0
834022,55:51.9,control,old_page,0
940666,17:31.2,control,old_page,1
651226,20:41.0,control,old_page,0
866650,21:46.0,control,old_page,0
689394,44:05.5,treatment,new_page,0
720673,49:32.0,control,old_page,0
690462,01:19.2,control,old_page,0
661653,09:03.1,treatment,new_page,1
688563,12:09.2,control,old_page,0
903448,45:24.0,treatment,new_page,0
804370,01:21.0,treatment,new_page,0
732934,10:20.4,treatment,new_page,0
675824,14:03.3,treatment,new_page,0
792824,18:43.7,treatment,new_page,0
800421,18:50.6,treatment,new_page,0
671329,27:28.6,treatment,new_page,0
882570,38:06.4,treatment,new_page,0
824725,46:56.6,treatment,new_page,0
744355,05:33.8,control,old_page,0
654541,06:54.8,treatment,new_page,0
699748,17:06.2,control,old_page,0
791715,21:56.3,control,old_page,0
650970,31:21.7,control,old_page,0
673175,08:58.0,control,old_page,0
819394,27:23.3,treatment,new_page,0
864961,29:37.0,control,old_page,0
847729,32:18.0,treatment,new_page,0
881312,39:11.3,control,old_page,0
708434,56:17.6,treatment,new_page,0
659516,01:08.4,treatment,new_page,0
632377,03:51.7,control,old_page,0
718282,11:19.0,treatment,new_page,0
827170,12:20.8,treatment,new_page,0
781176,20:10.5,treatment,new_page,0
847774,25:57.8,treatment,new_page,1
693749,30:20.3,control,old_page,0
795330,30:32.3,treatment,new_page,0
670052,39:01.1,control,old_page,0
796035,05:26.2,treatment,new_page,0
781525,07:02.8,control,old_page,1
742910,15:45.1,treatment,new_page,0
854272,26:50.7,control,old_page,0
675203,32:30.8,control,old_page,0
856247,38:03.1,control,old_page,0
883950,53:42.5,control,old_page,0
777311,02:44.7,treatment,new_page,0
694479,05:22.9,control,old_page,1
827765,17:52.9,treatment,new_page,0
895911,18:53.2,treatment,new_page,0
803931,52:50.7,control,old_page,0
672297,15:26.5,treatment,new_page,0
866886,15:30.4,control,old_page,0
794008,16:08.0,control,old_page,0
682712,23:02.7,control,old_page,0
738301,31:50.0,control,old_page,0
862691,49:55.3,control,old_page,1
925568,56:52.0,treatment,new_page,0
764138,57:33.3,treatment,new_page,0
752367,32:05.5,control,old_page,0
791730,32:08.6,treatment,new_page,0
756062,34:43.6,control,old_page,0
813492,34:58.8,treatment,new_page,0
778727,41:54.4,treatment,new_page,0
816085,55:06.2,treatment,new_page,0
637189,58:53.1,control,old_page,0
768832,00:45.7,control,old_page,0
818639,04:56.8,treatment,new_page,0
711424,25:10.9,control,old_page,0
763023,27:07.5,treatment,new_page,0
916990,28:18.0,control,old_page,0
713118,37:13.2,control,old_page,0
687705,40:59.8,treatment,new_page,0
646026,50:18.9,control,old_page,0
738189,53:02.8,treatment,new_page,0
878307,02:52.4,control,old_page,1
733451,08:54.8,control,old_page,0
930788,41:13.1,treatment,new_page,0
809620,46:38.3,treatment,new_page,0
858032,47:38.6,control,old_page,0
836295,00:06.1,control,old_page,0
710344,06:34.2,treatment,new_page,1
722066,06:45.3,control,old_page,0
880711,08:40.2,control,old_page,0
769655,19:03.3,treatment,new_page,0
879591,23:36.4,control,old_page,0
